FilePath,Offset(Hex),Offset(Dec),Encoding,Length,Content
D:\AI\openaiAgent\test.raw,0x914F1F,9522975,UTF-16BE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x914F20,9522976,UTF-16LE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x163E21F,23323167,UTF-16BE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x163E220,23323168,UTF-16LE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x1A054DF,27284703,UTF-16BE,58,\SystemRoot\System32\smss.exe
D:\AI\openaiAgent\test.raw,0x1A054E0,27284704,UTF-16LE,58,\SystemRoot\System32\smss.exe
D:\AI\openaiAgent\test.raw,0x9CE0E5F,164499039,UTF-16BE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x9CE0E60,164499040,UTF-16LE,16,smss.exe
D:\AI\openaiAgent\test.raw,0xC0A3FAF,201998255,UTF-16BE,16,smss.exe
D:\AI\openaiAgent\test.raw,0xC0A3FB0,201998256,UTF-16LE,16,smss.exe
D:\AI\openaiAgent\test.raw,0xFFA1FBF,268050367,UTF-16BE,16,smss.exe
D:\AI\openaiAgent\test.raw,0xFFA1FC0,268050368,UTF-16LE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x13E49007,333746183,UTF-16BE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x13E49008,333746184,UTF-16LE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x16C2AFBF,381857727,UTF-16BE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x16C2AFC0,381857728,UTF-16LE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x1B3E196F,457054575,UTF-16BE,58,\SystemRoot\System32\smss.exe
D:\AI\openaiAgent\test.raw,0x1B3E1970,457054576,UTF-16LE,58,\SystemRoot\System32\smss.exe
D:\AI\openaiAgent\test.raw,0x1B3E19C7,457054663,UTF-16BE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x1B3E19C8,457054664,UTF-16LE,16,smss.exe
D:\AI\openaiAgent\test.raw,0x2AC024F2,717235442,UTF-16LE,24,smss.exe.EX
D:\AI\openaiAgent\test.raw,0x2AC0256A,717235562,UTF-16LE,82,069210b63e70d80173060000d003a404_smss.exe
